Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,class
4.503,0.6091,5.686,5.892,1.714,2.822,1.03,0.6079,1.84,5.001,5.36,0.9521,one
4.425,0.6091,5.732,5.912,1.793,2.726,1.095,0.6104,1.749,5.02,5.514,0.8081,one
4.534,0.6287,5.411,5.896,1.76,3.008,1.116,0.6116,1.854,4.971,5.503,0.7507,one
-9999,0.5017,5.854,5.912,1.714,2.825,1.152,0.6116,1.769,5.095,5.32,0.7788,one
4.606,0.5139,5.58,5.867,1.871,2.815,0.9644,0.5566,1.887,5.093,5.317,0.7581,one
4.685,0.5737,5.704,5.883,1.826,2.787,1.079,0.5957,1.823,5.026,5.348,0.9448,one
4.53,0.5115,5.625,5.922,1.766,2.874,1.066,0.5737,1.827,5.189,5.538,0.6665,one
4.441,0.6055,5.662,5.841,1.731,2.808,0.9985,0.4932,1.777,5.021,5.575,0.5798,one
4.491,0.5371,5.594,5.927,1.71,2.683,1.022,0.6494,1.825,5.045,5.339,0.8875,one
4.714,0.5737,5.537,5.84,1.74,2.822,1.125,0.5859,1.825,5.139,5.553,0.7776,one
4.536,0.5554,5.482,5.865,1.812,2.834,0.9875,0.6531,1.838,4.988,5.222,0.7764,one
4.463,0.5029,5.813,5.907,1.791,2.708,0.9985,0.5103,1.956,5.02,5.345,0.824,one
4.657,0.5811,5.502,5.834,1.656,2.721,1.176,0.4309,1.752,4.988,5.28,0.8325,one
4.696,0.5164,5.713,5.785,1.729,2.765,1.017,0.5225,1.694,5.167,5.208,0.8142,one
4.587,0.592,5.71,5.88,1.738,2.727,1.016,0.6958,1.841,5.017,5.302,0.7788,one
4.607,0.5762,5.651,5.811,1.801,2.81,-9999,0.6519,1.794,5.068,5.282,0.6921,one
4.525,0.4419,5.64,5.84,1.808,2.836,1.045,0.6519,1.743,5.195,5.45,0.7031,one
4.406,0.3613,5.457,5.901,1.813,2.804,0.9998,0.6506,1.772,5,5.449,0.8789,one
4.64,0.52,5.361,5.833,1.719,2.764,1.105,0.6287,1.643,4.969,5.326,0.741,one
4.307,0.5408,5.542,5.857,1.698,2.784,1.072,0.6042,1.741,5,5.36,0.8313,one
4.636,0.5212,5.526,5.879,1.736,2.813,1.095,0.5469,1.713,5.215,5.625,0.8789,one
4.592,0.531,5.599,5.847,1.709,2.786,1.135,0.6335,1.642,4.987,5.364,0.8948,one
4.451,0.6042,5.437,5.854,1.636,2.823,1.062,0.5603,1.549,5.074,5.314,0.8411,one
4.454,-9999,5.791,5.819,1.809,2.69,1.014,0.5298,1.584,5.012,5.449,0.7373,one
4.47,0.5701,5.707,5.85,1.788,2.694,0.9595,0.636,1.732,4.941,5.386,0.7617,one
4.415,0.5444,5.642,5.891,1.725,2.782,0.9863,0.4907,-9999,5.104,5.455,0.8569,one
4.587,0.5542,5.796,5.868,1.72,2.698,0.8899,0.3577,1.78,4.956,5.409,0.6299,one
4.468,0.52,5.364,5.795,1.779,2.827,1.106,0.6738,1.744,5.167,5.295,0.73,one
4.514,0.5566,5.653,5.857,1.738,2.659,1.088,0.5457,1.638,5.146,5.303,0.7886,one
4.376,0.6213,5.432,5.817,1.838,2.797,1.102,0.6372,1.735,5.06,5.474,0.7837,one
1.31,3.77,2.988,2.371,0.2417,0.1575,0.2161,0.1526,0.26,0.9595,0.9631,0.1306,one
1.205,3.733,3.186,2.318,0.2222,0.1196,0.1184,0.1245,0.2026,0.9619,1.003,-0.04883,one
1.345,3.983,3.118,2.206,0.2649,0.07935,0.2014,0.07446,0.1978,0.9644,1.1,0.2466,one
1.398,4.028,2.8,2.218,0.249,-9999,0.2197,0.1465,0.2417,1.155,1.01,0.0769,one
1.359,3.806,2.78,2.345,0.3284,0.1086,0.2527,0.105,-9999,1.084,1.072,0.002441,one
1.233,4.065,2.83,2.212,0.2856,0.08789,0.21,0.06958,0.1318,0.9595,0.9229,0.01953,one
1.389,3.892,3.059,2.272,0.1782,0.1318,0.2026,-0.01465,0.1013,0.9973,0.9448,-9999,one
1.282,3.748,3.158,2.333,0.3772,0.2332,0.2124,0.04639,0.1086,1.039,0.9241,0.08179,one
1.359,3.999,3.051,2.239,0.2429,0.1904,0.07568,0.1685,0.1733,0.9631,1.014,0.06592,one
1.216,3.612,2.881,2.345,0.343,0.1904,0.1416,0.1074,0.2832,0.9692,0.957,0,one
1.289,3.912,2.791,2.268,-9999,0.05493,0.1196,0.1733,0.1318,1.042,1.106,-9999,one
1.143,3.848,2.981,2.246,0.2686,0.08057,0.2197,0.2673,0.2478,0.9192,1.042,0.0354,one
1.277,3.724,3.066,2.085,0.177,0.1746,0.1929,0.1392,0.1526,0.9558,0.9668,-0.01343,one
1.133,3.967,2.991,2.15,0.2356,-9999,0.2014,0.1526,0.26,0.9644,1.033,0.02075,one
1.16,3.789,2.969,2,0.1746,0.1575,0.21,0.1062,0.26,0.9583,0.9387,0.06226,one
1.351,3.705,2.793,2.146,0.282,0.1111,0.2063,0.08789,0.2173,0.9656,0.979,0.1538,one
1.329,3.905,3.011,2.28,0.1965,0.2698,0.1648,0.2161,0.3149,0.9473,0.9363,0.1184,one
1.282,3.762,3.081,2.249,0.1819,0.1062,0.1733,0.1611,0.2795,0.8801,1.023,0.05005,one
1.257,4.061,2.965,2.255,0.3528,0.1819,0.2039,-9999,0.2734,0.8887,1.029,-0.09888,one
1.201,3.733,3.008,2.273,0.2454,0.1807,0.1135,0.238,0.155,0.9033,1.03,0.08179,one
1.213,3.695,2.981,2.223,-9999,0.1611,0.127,0.1428,0.2844,0.9656,0.9766,-0.09277,one
1.2,3.978,3.031,2.177,0.3723,0.1282,0.1843,0.06348,0.2893,0.9607,1.064,0.1489,one
1.284,4.041,2.883,2.324,0.1904,0.1636,0.1135,0.1782,0.2698,0.9595,1.207,0.07935,one
1.375,4.081,2.743,2.347,0.1855,0.1013,0.1514,0.1477,0.2563,0.9814,0.929,-0.05859,one
1.295,3.882,3,2.279,0.1953,0.2039,0.2283,0.09766,0.1953,1.019,1.008,0.06592,one
1.37,3.813,2.842,2.352,0.1672,0.09644,0.3027,0.09277,0.2258,0.968,0.9583,-0.01099,one
1.152,3.71,2.944,2.091,0.2698,0.05493,0.1733,0.188,0.1282,0.9253,0.979,-9999,one
1.34,3.76,2.81,2.046,0.3088,0.282,0.1953,-0.01221,0.2148,0.9961,0.9436,0.03418,one
1.261,3.904,2.976,2.294,0.2966,0.1172,0.1343,0.08057,0.1965,0.9351,0.9082,0.2161,one
1.376,3.918,3.046,2.252,0.2209,0.1404,0.188,0.1721,0.21,0.9924,0.8948,0.009766,one
1.238,3.739,3.053,2.205,0.1489,0.1318,0.1538,0.04517,0.2429,1.005,0.968,0.1538,one
1.281,3.783,3.181,2.358,0.3552,0.2649,0.2991,0.1062,0.2612,1.003,0.9351,0.144,one
1.32,3.733,3.025,2.319,0.2588,0.2649,0.1648,0.1599,0.1404,0.9045,0.9424,0.03296,one
1.331,3.805,2.997,2.234,-9999,0.1831,0.2722,0.2112,0.2124,0.9338,0.9058,0.3174,one
1.292,3.644,2.941,2.141,0.3137,0.2246,0.1331,0.05737,0.1685,0.9668,1.066,0.1343,one
1.207,3.964,2.982,2.211,0.2319,0.1636,0.2197,0.05127,0.3528,0.918,0.8447,-0.1038,one
1.281,4.038,2.92,2.209,0.321,0.1404,0.1404,0.1428,0.2075,0.9131,1.038,-0.07202,one
1.259,4.03,3.076,2.257,0.1587,0.09521,0.2087,0.06104,-0.04517,0.8936,0.8276,0.07568,one
1.324,3.641,3.14,2.291,0.2527,0.1416,0.1855,0.2466,0.2649,0.9167,1.028,0.04272,one
1.278,3.967,2.869,2.236,0.1978,0.1758,0.1355,0.155,0.2551,0.9387,0.9436,0.009766,one
1.571,3.801,2.942,2.181,0.3174,0.2026,0.1221,0.3577,0.07812,0.9875,1.143,0.2209,one
1.643,3.761,3.289,2.482,0.2539,0.1733,0.2063,0.1855,0.2405,1.007,0.9766,0.1404,one
1.935,3.687,3.423,2.577,0.2051,0.249,0.2002,-0.05249,0.3088,0.907,0.9644,-0.07568,one
2.267,3.737,3.842,2.897,0.2271,0.3296,0.3516,0.1721,0.282,1.018,0.9985,0.155,one
2.257,3.914,4.344,2.804,0.2307,0.4138,0.1733,0.1013,0.2893,1.005,0.9937,0.03296,one
2.52,3.945,4.578,2.985,0.2966,0.4065,0.2173,0.1819,0.3357,0.9705,1.023,0.002441,one
2.439,3.701,4.836,3.138,0.4028,0.5261,0.343,0.1831,0.2795,0.9717,1.046,0.2222,one
2.543,3.604,4.894,3.119,0.3027,0.4651,0.1855,0.2417,0.3674,0.9424,0.9009,0.01709,one
2.733,3.81,4.994,2.991,0.3308,0.6799,0.2161,0.09521,0.2832,0.8887,1.025,-0.01953,one
2.804,3.713,4.854,3.182,0.4089,0.8044,0.1892,0.1208,0.3723,0.9753,1.08,0.009766,one
2.949,3.914,5.239,3.315,0.3918,0.6201,0.2527,0.2295,0.2612,0.9766,1.023,-0.0293,one
2.838,3.574,4.896,3.56,0.387,0.7031,0.2417,0.1929,0.2209,1.001,1.066,-0.1111,one
2.946,3.727,4.731,3.221,0.2039,0.636,0.2588,0.08057,0.3284,0.9338,1.031,0.1184,one
2.726,3.756,4.664,3.292,0.4321,0.8142,0.199,0.2271,0.376,1.014,1.063,0.0769,one
3.033,3.754,5.515,3.517,0.4443,0.7043,0.3003,0.1599,0.3967,0.9668,0.9912,0.05493,one
2.888,3.621,5.233,3.386,0.3674,0.9412,0.3027,0.1843,0.2698,1.071,1.051,-0.155,one
3.147,3.414,5.115,3.309,0.3394,0.8142,0.2368,0.09644,0.2478,0.9766,1.033,0.01831,one
3.065,3.588,4.816,3.536,0.4187,0.8801,0.2673,0.1208,0.1917,0.9778,1.185,-0.04028,one
3.104,3.622,5.137,3.372,0.5017,0.9094,0.3174,0.144,0.365,1.063,1.133,-0.03662,one
3.134,3.54,5.483,3.556,0.3772,0.8386,0.2454,0.1123,0.3552,1.031,1.09,0.01099,one
3.014,3.391,5.177,3.505,0.4687,0.8423,0.2515,0.1672,0.3967,1.058,1.051,-0.08789,one
3.047,3.564,5.41,3.372,0.376,0.9631,0.2698,0.1685,0.2246,1.116,1.089,0.03296,one
3.325,3.643,5.333,3.407,0.2722,0.9119,0.2283,0.07446,0.3613,1.086,1.134,-0.08789,one
3.134,3.63,5.555,3.589,0.3687,0.9167,0.1465,0.1855,0.3577,1.145,1.119,0.05127,one
3.064,3.413,5.264,3.34,0.3564,0.9436,0.282,0.04272,0.3455,1.05,1.237,-0.04028,one
3.291,3.599,4.926,3.336,0.4431,0.8765,0.2588,0.155,0.4443,1.272,1.006,0.1489,one
2.942,3.481,4.905,3.578,0.354,1.002,0.2026,0.1294,0.4358,1.129,0.9644,0.1733,one
3.229,3.492,5.408,3.479,0.4468,0.9973,0.3467,0.05005,0.3613,1.138,1.075,0.02686,one
3.336,3.334,4.791,3.438,0.3381,1.147,0.2991,0.1624,0.5042,1.238,1.06,-0.01343,one
3.112,3.552,5.105,3.381,0.3699,1.025,0.2417,0.2161,0.4028,1.124,1.165,0.1575,one
3.149,3.438,5.546,3.365,0.4114,1.088,0.2893,0.2295,0.4004,1.163,1.25,-0.09155,one
3.296,3.392,4.784,3.635,0.4285,0.9924,0.2698,0.1257,0.3601,1.088,1.156,0.1135,one
3.154,3.578,5.626,3.512,0.3247,1.041,0.2942,0.2026,0.4211,1.216,1.149,-0.07812,one
3.322,3.452,5.155,3.542,0.343,1.036,0.3967,0.03784,0.4297,1.158,1.176,0.0415,one
3.248,3.608,5.449,3.54,0.3833,0.9473,0.3137,0.1245,0.4382,1.202,1.171,-0.01953,one
3.17,3.265,5.044,3.458,0.3845,0.9863,0.3015,0.1294,0.4749,1.35,1.133,-0.1184,one
3.331,3.297,5.068,3.488,0.3833,1.01,0.1501,0.2551,0.5627,1.292,1.034,0.009766,one
3.047,3.274,4.955,3.263,0.3357,1.002,0.2026,0.2673,0.4675,1.448,1.074,0.1184,one
3.173,3.43,5.521,3.492,0.4346,0.9778,0.2856,0.1855,0.4126,1.256,1.067,0.1208,one
3.27,3.384,5.239,3.28,0.3381,0.9961,0.2344,0.02197,0.4529,1.222,1.212,-0.02075,one
3.264,3.397,5.564,3.49,0.3662,0.8838,0.1807,0.2405,0.4761,1.378,1.124,0.0415,one
3.129,3.226,4.785,3.186,0.5408,0.863,0.3918,0.1624,0.3638,1.299,1.055,0.08545,one
3.32,3.258,4.983,-9999,0.4077,0.9131,0.2271,0.2136,0.4175,1.227,1.096,-0.1208,one
3.153,3.356,5.017,3.146,0.4468,1.082,0.08545,0.2222,0.4614,1.295,0.9521,0.08789,one
3.248,3.407,4.834,3.416,0.4553,0.9363,0.3406,0.1794,0.3271,1.139,0.8533,0.07812,one
2.974,3.445,4.807,3.436,0.3186,0.9241,0.2563,-0.02808,0.304,1.296,1.061,-0.03906,one
3.241,3.18,4.978,3.173,0.26,0.9875,0.3101,0.09277,0.2344,1.024,1.134,-0.0647,one
3.101,3.363,5.477,3.359,0.3918,0.8716,0.2246,0.09521,0.459,1.188,1.04,0.0293,one
3.342,3.448,5.28,3.126,0.4761,0.7947,0.2161,0.2576,0.3381,1.39,1.262,0.01099,one
3.325,3.252,5.51,3.24,0.4077,0.9497,0.376,-0.06226,0.4236,1.187,1.243,0.05859,one
3.135,3.347,5.277,3.289,0.3235,0.9607,0.2051,0.1782,0.3125,1.257,0.9253,-0.0354,one
3.105,3.392,5.468,3.164,0.3564,0.9119,0.2466,0.05127,0.3906,1.3,1.133,0.07935,one
3.152,3.317,4.756,3.158,0.4919,1.012,0.3577,0.2185,0.448,1.276,1.156,-0.008545,one
3.23,3.195,4.858,3.513,0.3186,0.9229,0.2698,0.2319,0.4456,1.261,1.125,-0.02441,one
3.236,3.362,5.521,3.262,0.3174,0.863,0.2832,0.08057,0.4236,1.267,1.04,0.03418,one
3.342,3.309,5.532,3.121,0.4529,0.9851,0.009766,0.2161,0.3052,1.307,1.077,0.05615,one
3.171,3.367,5.498,3.353,0.4041,0.8728,0.271,0.1941,0.2466,1.282,1.171,-0.01343,one
1.194,3.131,2.845,2.324,0.2393,0.1379,0.1355,0.1709,-0.05249,1.111,1.057,5.107,one
1.324,3.047,2.805,2.406,0.1965,0.2649,0.09155,0.1489,0.1733,1.166,1.06,5.247,one
1.277,3.049,2.9,2.373,0.2368,0.3284,0.144,-0.01099,0.1086,1.091,0.8838,5.054,one
1.252,3.203,3.026,2.257,-9999,0.04761,0.1819,0.1587,0.1257,1.112,0.9766,5.323,one
1.233,3.197,-9999,2.38,0.166,0.1086,0.1111,0.1648,0.2478,1.095,0.9229,5.199,one
1.313,3.087,2.982,2.168,0.3516,0.05249,0.2161,0.1184,0.2942,1.068,0.9619,5.032,one
1.217,3.369,3.054,2.324,0.2808,0.2271,0.1709,0.04883,0.2515,1.003,1.016,5.496,one
1.348,3.253,2.874,2.338,0.2344,-0.01343,0.1843,-0.008545,0.1318,1.08,0.9851,5.652,one
1.526,3.103,2.926,2.362,0.2283,0.1477,0.2246,0.1416,0.2026,1.146,1.04,5.382,one
1.385,3.315,2.919,2.401,0.2307,0.09521,0.1965,0.1453,0.09399,1.083,1.029,5.221,one
1.143,3.164,2.904,2.207,0.2563,0.1367,0.1379,0.2026,0.1477,0.9949,0.9412,5.42,one
1.202,3.334,3.01,2.152,0.1831,0.1953,0.1672,0.1306,0.1978,1.058,1.04,4.965,one
1.34,3.256,3.142,2.458,0.1465,0.144,0.1636,0.1282,0.01343,1.017,0.9961,5.06,one
1.154,3.267,2.919,2.323,0.1843,0.1831,0.1514,0.2209,0.2124,1.06,0.9155,-9999,one
1.272,-9999,2.888,2.192,0.2563,0.1709,0.1538,0.2026,0.1965,0.9753,1.063,5.066,one
1.166,3.002,3.215,2.216,0.2893,0.293,0.1794,0.1477,0.05005,1.041,1.022,4.928,one
1.217,2.957,2.804,2.341,0.2136,0.1697,0.2039,-9999,0.1208,1.033,1.044,5.25,one
1.376,3.187,2.963,2.394,0.1062,-0.08423,0.1807,0.1611,0.1221,1.072,1.049,5.51,one
1.322,3.13,3.265,2.158,0.2124,0.144,0.1257,0.08667,0.1233,1.111,1.042,5.444,one
1.309,3.083,2.994,2.19,0.1062,0.0769,0.1001,0.07935,0.1611,1.058,0.9839,5.057,one
1.338,-9999,2.905,2.109,0.1331,0.1318,0.2393,0.08545,0.01709,1.01,1.028,4.786,one
1.278,3.195,3.201,2.357,0.2881,0.09888,0.1489,0.1599,0.2527,1.062,0.9863,4.933,one
1.332,3.311,3.011,2.114,0.3113,0.07935,0.2002,0.1477,0.2075,1.075,1.108,5.494,one
1.32,3.164,2.856,2.418,0.1868,0.0415,0.1221,0.02686,0.3052,0.9924,1.041,5.145,one
1.285,3.132,2.845,2.388,0.2185,0.105,0.2563,0.1514,0.238,0.9729,0.9619,4.801,one
1.226,3.26,3.062,2.255,0.1208,0.1111,0.2051,0.2173,0.1843,1.062,1.001,5.492,one
1.351,3.236,3.16,2.325,0.2466,0.03052,0.1807,0.1575,0.2454,1.091,1.011,5.713,one
1.271,3.254,2.804,2.362,0.01343,0.04517,0.1917,0.09644,0.1611,1.107,0.9607,4.761,one
1.313,2.976,3.103,2.208,0.1538,0.1477,0.2026,0.1367,0.1404,1.091,1.088,5.391,one
1.298,3.362,2.902,2.158,0.21,0.3052,0.1892,0.1282,0.2173,1.095,0.9155,4.841,one
1.194,2.919,3.02,2.203,0.2441,0.1038,0.1929,0.1416,0.2112,1.069,0.8813,5.254,one
1.29,3.157,2.848,2.289,0.2563,0.177,0.2795,0.1465,0.3162,1.085,1.013,4.757,one
1.233,3.303,3.03,2.322,0.1392,0.1575,0.1147,0.116,0.1953,1.035,0.813,5.493,one
1.254,3.147,3.06,2.538,0.2368,0.282,0.1892,0.1465,0.08545,1.067,0.9851,5.35,one
1.581,2.969,3.134,2.335,0.2478,0.08057,0.07324,0.08423,0.1526,1.099,0.7605,5.632,one
1.91,3.323,3.024,2.501,0.3198,0.2625,0.05615,0.1257,0.1965,1.112,1.066,5.751,one
2.003,3.264,3.243,2.863,0.2625,0.1343,0.1099,0.07202,0.2429,1.06,0.979,4.884,one
2.303,3.306,3.326,3.474,0.2869,0.2722,0.1123,-0.01343,0.2734,0.9497,1.074,5.123,one
2.312,3.235,3.513,3.711,0.2869,0.3345,0.2673,0.1062,0.3369,1.027,0.9583,5.612,one
2.393,3.202,3.616,3.787,0.2759,0.08911,0.188,0.02441,0.2759,1.067,0.9631,5.165,one
2.462,3.325,3.743,3.739,0.2771,0.2454,0.127,0.1782,0.4138,1.101,1.095,5.704,one
2.615,3.282,3.795,4.064,0.321,0.1575,0.3027,0.1343,0.26,1.223,1.19,5.616,one
2.759,3.346,3.92,3.84,0.4138,0.2844,0.2527,0.1343,0.4224,1.056,1.06,4.911,one
2.952,3.395,4.275,4.233,0.4333,0.3455,0.2441,0.1257,0.4016,1.216,1.073,5.065,one
2.822,3.165,4.355,4.053,0.3784,0.4163,0.1147,0.1489,0.3442,1.174,1.185,5.374,one
2.865,3.311,4.482,4.29,0.3662,0.3247,0.1929,0.177,0.4224,1.327,0.9241,5.825,one
2.903,3.264,4.491,4.105,0.3381,0.3223,0.2429,0.2271,0.3711,1.187,1.127,5.167,one
2.754,3.398,4.648,4.116,0.3955,0.2209,0.3296,0.1929,0.4297,1.206,1.154,4.961,one
3.02,3.492,4.496,4.167,0.426,0.2588,0.1843,0.21,0.304,1.168,1.156,5.157,one
2.909,3.303,4.659,4.269,0.4297,0.5029,-9999,0.1794,0.4028,1.155,1.221,5.648,one
3.126,3.457,4.612,4.114,0.4541,0.4126,0.2283,0.199,0.4211,1.394,1.311,5.35,one
2.898,3.335,4.823,4.359,0.3906,0.4932,0.1575,0.3052,0.4126,1.426,1.295,5.02,one
2.878,3.499,4.626,4.004,0.4504,0.3955,0.3906,0.2844,0.3979,1.503,1.277,5.549,one
3.008,3.395,4.666,4.049,0.5225,0.4004,0.2991,0.1892,0.4492,1.456,1.309,5.352,one
2.874,3.433,4.962,-9999,0.4016,0.4382,0.2783,0.1404,0.4419,1.553,1.329,5.289,one
3.082,3.298,4.974,4.308,0.4675,0.6104,0.2563,0.2148,0.5884,1.497,1.385,4.938,one
3.033,3.307,4.749,4.307,0.4626,0.3748,0.3125,0.2673,0.4761,1.375,1.375,-9999,one
2.947,3.597,4.805,4.401,0.3992,0.4272,0.2271,0.0769,0.5688,1.605,1.364,5.271,one
2.985,3.6,4.589,4.427,0.448,0.4578,0.2893,0.2148,0.3467,1.624,1.516,5.282,one
3.032,3.406,4.995,4.324,0.4822,0.4089,0.4346,0.2136,0.4382,1.758,1.497,4.825,one
2.932,3.472,4.983,4.381,0.4492,-9999,0.2344,0.02441,0.498,1.666,1.466,5.378,one
2.952,3.439,4.705,4.302,0.4675,0.4834,0.2881,0.1978,0.3821,1.685,1.455,5.022,one
2.859,3.339,4.648,4.241,0.4761,0.52,0.3577,0.2222,0.5005,-9999,1.488,5.665,one
3.138,3.711,4.67,4.21,0.625,0.5493,0.1843,0.2136,0.321,1.631,1.377,5.426,one
2.953,3.494,4.705,4.333,0.5249,0.4797,0.4297,0.1501,0.4712,1.779,1.376,4.83,one
3.075,3.379,4.852,4.336,0.5322,0.3906,0.2686,0.2332,0.3467,1.689,1.479,4.839,one
3.068,3.475,5.171,4.358,0.4419,0.4968,0.2051,0.2185,0.4175,1.759,1.526,5.415,one
2.997,3.467,4.819,4.288,0.5176,0.5273,0.2551,0.2454,0.415,1.896,1.456,5.522,one
3.094,3.488,4.824,4.333,0.5164,0.5261,0.238,0.04883,0.2783,1.843,1.306,5.48,one
2.881,3.632,4.656,4.119,0.4675,0.3015,0.2661,0.1685,0.4883,1.809,1.394,5.308,one
2.965,3.45,5.157,4.276,0.3796,0.4236,0.2869,0.2917,0.6128,1.852,1.451,4.905,one
2.994,3.734,5.217,4.241,0.4687,0.2905,0.3259,0.2026,0.3967,1.829,1.437,4.972,one
2.872,3.663,4.904,4.119,0.4016,0.5554,0.2856,0.1599,0.3906,1.964,1.449,5.159,one
2.996,3.694,4.983,3.928,0.5066,0.5383,0.2197,0.2136,0.4333,1.857,1.414,5.525,one
3.036,3.542,4.866,3.96,0.4736,0.426,0.2283,0.26,0.4626,2.007,1.433,5.035,one
3.054,3.402,4.785,3.872,0.4114,0.5408,0.2173,0.1843,0.4687,1.722,1.454,5.532,one
2.834,3.705,5.101,3.811,0.3931,0.4211,0.304,-9999,0.2881,1.975,1.37,4.834,one
3.03,3.584,4.85,3.7,0.3735,0.459,0.1843,0.3076,0.448,1.976,1.414,5.264,one
2.788,-9999,5.111,3.756,0.4114,0.4382,0.2771,0.2441,0.4956,1.958,1.467,5.192,one
2.775,3.749,4.762,3.434,0.415,0.426,0.2075,0.21,0.3711,1.976,1.337,5.62,one
2.653,3.491,5.04,3.698,0.3967,0.4236,0.2478,0.2148,0.4309,1.942,1.345,5.393,one
2.905,3.373,4.883,3.784,0.5054,0.5127,0.1685,0.1514,0.4456,1.913,1.235,5.747,one
2.908,3.442,5.021,3.745,0.5164,0.4126,0.2405,0.1831,0.3662,1.923,1.317,5.002,one
3.005,3.651,4.861,3.719,0.3918,0.4236,0.3088,-9999,0.387,1.987,1.182,4.906,one
2.969,3.619,5.063,3.838,0.3394,0.426,0.1318,0.1819,0.365,1.957,1.384,5.441,one
2.983,3.591,5.045,3.815,0.4614,0.5969,0.1331,0.0769,0.4309,1.903,1.304,5.195,one
2.975,3.513,4.928,3.694,0.415,0.282,0.3882,0.1501,0.5017,2.064,1.185,5.417,one
2.87,3.373,5.034,3.719,0.4395,0.4285,0.2637,0.1074,0.3613,1.875,1.337,4.728,one
2.661,3.425,4.816,3.684,0.3467,0.3479,0.1746,0.1428,0.426,1.871,1.123,4.836,one
2.871,3.695,4.88,3.711,0.3748,0.426,0.2148,0.1929,-9999,1.929,1.362,5.015,one
2.861,3.444,4.911,3.455,0.3894,0.4065,0.2161,0.1282,-9999,1.92,1.24,5.577,one
2.773,3.591,4.771,3.605,0.2063,0.5615,0.2258,0.354,0.343,1.809,1.309,5.037,one
3.635,1.147,5.529,4.792,0.5896,1.351,0.4468,0.3723,0.437,1.731,1.165,4.978,two
3.848,1.357,5.28,4.636,0.6763,1.326,0.3381,0.3052,0.5908,1.65,1.178,5.157,two
3.772,1.194,5.566,4.65,0.7117,1.471,0.3882,0.2478,0.5554,1.709,1.217,4.918,two
4.043,1.104,5.468,4.585,0.5994,1.536,0.3735,0.2576,0.4578,1.761,1.246,5.334,two
3.798,1.184,5.073,5.166,-9999,1.489,0.3992,0.2417,0.6702,1.779,1.471,5.59,two
3.923,1.18,5.466,4.751,0.4614,1.586,0.3479,0.2551,0.6555,1.812,1.367,5.142,two
3.982,1.021,5.127,4.803,0.5847,1.58,0.4883,0.2869,0.564,1.901,1.343,5.43,two
3.934,0.9399,5.259,4.952,0.614,1.604,0.4395,0.2332,0.6787,2.023,1.293,5.111,two
3.964,1.178,5.475,4.845,0.5627,1.538,0.4016,0.2869,0.5774,2.026,1.278,5.605,two
4.008,1.066,5.481,4.492,0.5811,1.538,0.3772,0.2734,0.5542,1.99,1.292,5.531,two
3.846,1.096,5.41,4.59,0.7056,1.509,0.5225,0.1404,0.6177,2.023,1.224,4.74,two
3.976,1.069,5.189,5.187,0.5872,1.603,0.3491,0.2881,0.6763,2.1,1.475,4.982,two
4.181,1.05,5.251,4.739,0.7422,1.722,0.4565,0.2429,0.5994,2.1,1.342,4.885,two
3.811,0.9326,5.414,4.792,0.7434,1.503,0.5164,0.3418,0.6348,2.04,1.407,5.61,two
3.94,0.8826,5.022,4.675,0.7007,1.654,0.3833,0.3418,0.6165,2.028,1.437,5.526,two
3.879,0.9753,5.094,5.007,0.5579,1.656,0.4993,0.1843,0.564,2.194,1.261,5.312,two
3.842,0.7959,4.891,4.623,0.625,1.816,0.4321,0.2271,0.5872,2.065,1.392,4.762,two
3.724,1.034,5.2,4.498,0.6519,1.609,0.3247,0.2661,0.5945,2.355,1.365,5.134,two
3.713,0.9595,5.26,4.68,0.4358,1.626,0.4199,0.1501,0.5908,2.252,1.23,5.57,two
3.794,0.8545,5.405,4.651,0.5408,1.611,0.2722,0.2454,0.5798,2.17,1.421,5.466,two
3.909,1.019,4.905,4.437,0.5908,1.412,0.4309,0.1245,0.5493,2.336,1.318,5.531,two
3.917,0.9277,4.908,4.207,0.448,1.597,0.4822,0.2405,0.4578,2.255,1.257,4.775,two
3.86,0.8948,5.166,4.574,0.6616,1.422,0.3479,0.2319,0.5798,2.279,1.398,5.658,two
3.68,0.8813,4.927,4.548,0.6152,1.464,0.3149,0.3345,0.4785,2.063,1.368,5.15,two
3.657,0.8582,5.516,4.7,0.5823,1.458,0.3479,0.1978,0.6482,2.343,1.349,5.652,two
3.712,0.9241,5.638,4.501,0.592,1.542,0.4553,0.2917,0.5139,2.101,1.283,5.272,two
3.701,0.9009,5.36,4.645,0.5371,1.393,-9999,0.2405,0.5066,2.173,1.436,5.297,two
3.785,0.8801,5.577,4.738,0.6067,1.403,0.4578,0.2283,0.6335,2.225,1.29,5.344,two
3.851,0.7336,5.474,4.424,0.5542,1.449,0.3015,0.249,0.6335,2.208,1.41,5.333,two
3.872,0.7666,5.195,4.678,0.6604,1.414,0.4578,0.3845,0.5298,2.233,1.473,5.132,two
3.905,0.8984,5.083,4.628,0.5908,1.498,0.4626,0.2124,0.6445,2.244,1.306,4.751,two
4.045,0.9314,5.439,4.708,0.6531,1.459,0.4724,0.2319,0.6116,2.227,1.382,5.02,two
3.738,0.7715,5.77,4.453,0.6799,1.691,0.5383,0.2856,0.5481,2.278,1.339,5.375,two
3.909,0.9241,5.538,4.65,0.5676,1.394,0.5139,0.2869,0.6885,2.305,1.455,5.615,two
