Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,class
4.457,1.788,5.488,5.916,2.103,1.232,1.025,0.5664,2.081,3.182,5.317,5.082,one
4.515,1.779,5.64,5.953,2.219,1.401,1.147,0.4736,2.206,5.111,5.526,5.577,one
4.258,1.761,5.778,5.916,2.175,1.602,1.058,0.5981,2.228,5.15,5.244,5.414,one
4.493,1.698,5.748,5.886,2.383,1.676,1.202,0.4077,2.456,5.004,5.393,4.696,one
4.563,1.627,5.775,5.979,2.294,1.848,0.9766,0.6555,2.311,5.061,5.503,5.763,one
4.392,1.51,5.275,5.972,2.551,1.915,1.184,0.5615,2.307,5,5.447,5.769,one
4.409,1.44,5.459,5.972,2.482,2.002,1.007,0.5774,2.382,5.198,5.463,5.38,one
4.398,1.539,5.436,5.962,2.573,2.04,1.013,0.7031,2.462,5.105,5.261,5.076,one
4.441,1.538,5.391,5.959,2.616,2.136,1.195,0.6311,2.561,5.105,5.538,4.854,one
4.419,1.458,5.806,5.886,2.572,2.029,1.244,0.6555,2.395,5.106,5.403,5.53,one
4.578,1.421,5.387,5.975,2.754,2.129,1.144,0.7983,2.468,5.087,5.426,5.139,one
4.562,1.345,5.824,5.948,2.507,2.118,1.162,0.5127,2.346,5.125,5.321,5.043,one
4.427,1.167,5.564,5.963,2.603,2.203,1.113,0.6995,2.394,5.002,5.424,5.398,one
4.57,1.323,5.4,5.977,2.527,2.108,0.9351,0.6445,-9999,5.033,5.566,4.761,one
4.443,1.284,5.4,5.907,2.524,2.183,1.198,0.5896,2.5,5.074,5.492,5.515,one
4.421,1.348,5.845,5.911,2.483,2.183,1.14,0.7788,2.393,5.155,5.548,5.516,one
4.526,1.177,5.747,5.896,2.365,2.009,1.266,0.697,2.468,5.144,5.309,4.686,one
4.52,1.097,5.608,6.011,2.555,2.217,1.21,0.6018,2.422,5.088,5.385,5.499,one
4.348,1.116,5.654,5.956,2.478,2.257,1.217,0.6409,2.336,5.071,5.616,5.712,one
4.705,1.207,5.659,5.931,-9999,2.231,1.145,0.7458,2.505,5.062,5.297,5.77,one
4.615,1.224,5.654,6.011,2.488,2.2,1.147,0.5481,2.532,5.009,5.314,5.52,one
4.373,1.079,5.791,5.927,2.516,2.123,1.156,0.5579,2.469,4.988,5.38,5.742,one
4.507,1.078,-9999,5.906,2.48,2.233,1.118,0.6995,2.399,5.063,5.414,5.348,one
4.443,1.03,5.773,5.951,2.489,2.106,1.115,0.5103,2.406,5.154,5.482,5.504,one
4.702,1.111,5.748,6.013,2.529,2.109,1.146,0.6116,2.471,5.01,5.409,5.737,one
4.592,1.144,5.457,5.876,2.294,2.189,1.169,0.5493,2.379,5.046,5.273,5.447,one
4.67,1.127,5.608,5.925,2.362,2.292,1.116,-9999,2.537,5.148,5.438,5.415,one
4.43,1.075,5.869,5.874,2.458,2.037,1.117,0.6384,2.283,5.081,5.599,5.505,one
4.498,1.056,5.782,5.89,2.432,2.159,1.199,0.6897,2.415,5.083,5.251,5.419,one
4.637,1.08,5.664,5.931,2.399,2.061,1.104,0.5688,2.466,5.267,5.269,4.863,one
4.562,1.167,5.468,5.985,2.483,2.109,1.201,0.5603,2.411,5.067,5.51,5.048,one
4.576,1.067,5.608,5.906,2.4,2.073,1.152,0.7031,2.262,4.939,5.453,4.849,one
4.677,1.089,-9999,5.937,2.38,2.058,1.144,0.6433,2.256,5.146,5.508,5.304,one
4.482,1.028,5.363,5.924,2.268,2.114,1.108,0.6482,2.355,5.126,5.425,5.021,one
4.55,0.9778,5.582,5.947,2.544,2.068,1.118,0.5579,2.354,4.973,5.339,5.547,one
4.446,1.066,5.444,5.929,2.361,2.111,1.036,0.6812,2.423,5.024,5.288,5.585,one
4.612,1.063,5.814,5.9,2.379,2.141,1.068,0.5786,2.288,5.132,5.269,5.536,one
